"id","libelle","is_default","etape_traitement_id","created_at","updated_at","deleted_at"
67,"Refusé",0,52,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
68,"En cours",1,54,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
69,"Terminé",0,54,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
70,"Refusé",0,54,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
71,"En cours",1,58,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
72,"Terminé",0,58,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
73,"Refusé",0,58,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
74,"En cours",1,60,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
75,"Terminé",0,60,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
76,"Refusé",0,60,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
77,"En cours",1,64,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
78,"Terminé",0,64,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
79,"Refusé",0,64,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
80,"En cours",1,66,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
81,"Terminé",0,66,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
82,"Refusé",0,66,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
83,"En cours",1,70,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
84,"Terminé",0,70,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
85,"Refusé",0,70,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
86,"En cours",1,72,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
87,"Terminé",0,72,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
88,"Refusé",0,72,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
89,"En cours",1,76,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
